FilePath	Group	Element	VR	Keyword	Value	ParentTag	ItemIndex	RescaleSlope	RescaleIntercept	RescaleType	CalPhantomID
	0013	1802	UT	DICOCH private_dict	"Tag List
--------
(0013,0010) LO ""_PrivateCreator""
(0013,1000) SQ ""Heritage Metadata Sequence""
(0013,1001) LO ""Heritage Name""
(0013,1002) LO ""Heritage ID""
(0013,1003) LO ""Historic Period""
(0013,1004) UT ""Material Composition""
(0013,1005) UT ""Condition Status""
(0013,1006) LO ""Cultural Significance""
(0013,1007) UT ""Investigation Purpose""
(0013,1008) LO ""Investigator""
(0013,1009) LO ""Site Location""
(0013,2000) SQ ""Gray Value Calibration Sequence""
(0013,2001) DS ""Mean Gray Value""
(0013,2002) DS ""Min Gray Value""
(0013,2003) DS ""Max Gray Value""
(0013,3000) SQ ""ROI Gray Value Sequence""
(0013,3001) LO ""ROI Label""
(0013,3002) LO ""ROI Type""
(0013,3003) UT ""ROI Coordinates""
(0013,3004) DS ""ROI Mean Gray Value""
(0013,3005) DS ""ROI Min Gray Value""
(0013,3006) DS ""ROI Max Gray Value""
(0013,4000) SQ ""HU Calibration Sequence""
(0013,4001) LO ""CH-HU CalRef""
(0013,4002) LO ""MassAttenDataSrc""
(0013,4003) DS ""CH-HUCalibration Rescale Slope""
(0013,4004) DS ""CH-HUCalibration Rescale Intercept""
(0013,4005) LO ""CH-HUCalibration Rescale Type""
(0013,5000) SQ ""ROI-HU Sequence""
(0013,5001) LO ""ROI Label""
(0013,5002) LO ""ROI Type""
(0013,5003) UT ""ROI Coordinates""
(0013,5004) LO ""Slice Number / Frame UID""
(0013,5005) DS ""Mean HU""
(0013,5006) DS ""Min HU""
(0013,5007) DS ""Max HU""
(0013,5008) DS ""HU StdDev""
(0013,5009) LO ""Reference Material""
(0013,6000) SQ ""IIIF / International Norm Link Sequence""
(0013,6001) UR ""IIIF Manifest URI""
(0013,6002) UR ""IIIF ImageService URI""
(0013,6003) CS ""IIIF Compliance Level""
(0013,6005) CS ""Open License Statement""
(0013,7000) SQ ""Security / Access Sequence""
(0013,7001) CS ""Access Level""
(0013,7002) DA ""Embargo End Date""
(0013,7003) LO ""Encryption Method""
(0013,7004) LO ""Hash Algorithm""
(0013,7005) LO ""Data Checksum""
(0013,7006) LO ""License Type""
(0013,7007) LO ""Authorized User ID""
(0013,7008) UT ""Access Audit Trail"""	00138000	1				
	0018	0050	DS	Slice Thickness	0.116873 mm	00180000	1				
	0018	0060	DS	KVP	90 kV	00180000	1				
	0018	0088	DS	Spacing Between Slices	0.116873 mm	00180000	1				
	0018	1110	DS	Distance Source-Detector	975.0 mm	00181100	1				
	0018	1111	DS	Distance Source-Patient	735.065 mm	00181100	1				
	0018	1120	DS	Gantry/Detector Tilt	720	00181100	1				
	0018	1150	DS	Exposure Time	350	00181100	1				
	0018	1151	IS	X-ray Tube Current	200 µA	00181100	1				
	0018	1152	IS	Exposure	5.8	00181100	1				
	0018	1190	DS	Focal Spot(s)	0.004 mm	00181100	1				
	0018	7050	CS	Filter Material	COPPER	00187000	1				
	0018	9310	FD	Table Feed per Rotation	0.019531	00189300	1				
	0018	9315	CS	Reconstruction Algorithm	FBP	00189300	1				
	0028	0002	US	Samples per Pixel	1	00280000	1				
	0028	0004	CS	Photometric Interpretation	MONOCHROME2	00280000	1				
	0028	0010	US	Rows	2000	00280000	1				
	0028	0011	US	Columns	2000	00280000	1				
	0028	0030	DS	Pixel Spacing	[0.143, 0.143]	00280000	1				
	0028	0100	US	Bits Allocated                     	16	00280100	1				
	0028	0101	US	Bits Stored                        	16	00280100	1				
	0028	0102	US	High Bit                           	15	00280100	1				
	0028	0103	US	Pixel Representation               	1	00280100	1				
	0028	1050	DS	Window Center	1192	00281000	1				
	0028	1051	DS	Window Width	2385	00281000	1				
	0028	1052	DS	RescaleIntercept	-1024	00281000	1		-1024		
	0028	1053	DS	RescaleSlope	1	00281000	1	1			
	0028	1054	LO	RescaleType	HU 	00281000	1			HU	
	7FE0	0010	OW	Pixel Data	<Binary Pixel Data>	7FE00000	1				
